[17:05:11.545344709] (+?.?????????) vm lttng_pinsight_mpi:MPI_Init_begin: { cpu_id = 2 }, { pid = 32016 }
[17:05:11.547272639] (+0.001927930) vm lttng_pinsight_mpi:MPI_Init_begin: { cpu_id = 0 }, { pid = 32021 }
[17:05:11.549327091] (+0.002054452) vm lttng_pinsight_mpi:MPI_Init_begin: { cpu_id = 2 }, { pid = 32020 }
[17:05:11.551174099] (+0.001847008) vm lttng_pinsight_mpi:MPI_Init_begin: { cpu_id = 3 }, { pid = 32017 }
[17:05:11.572076628] (+0.000000038) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE580, count = 12, source = 1, tag = 0 }
[17:05:11.572076920] (+0.000000292) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 0 }, { mpirank = 3, buf = 0xD99F1380, count = 12, dest = 2, tag = 1 }
[17:05:11.572077342] (+0.000000422) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE580, count = 12, source = 1, tag = 0 }
[17:05:11.572077486] (+0.000000144) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 0 }, { mpirank = 3, buf = 0xD99F1380, count = 12, dest = 2, tag = 1 }
[17:05:11.572077641] (+0.000000155) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE5E0, count = 12, dest = 1, tag = 1 }
[17:05:11.572078044] (+0.000000403) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE5E0, count = 12, dest = 1, tag = 1 }
[17:05:11.572078073] (+0.000000029) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 0 }, { mpirank = 3, sendbuf = 0xD99F12F0, recvbuf = 0xD99F12F8, count = 1, mpi_op = 0x6026A0 }
[17:05:11.572078313] (+0.000000240) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE700, count = 12, source = 3, tag = 1 }
[17:05:11.572078905] (+0.000000592) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE700, count = 12, source = 3, tag = 1 }
[17:05:11.572079409] (+0.000000504) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 1 }, { mpirank = 0, buf = 0x1B050DC0, count = 12, dest = 1, tag = 0 }
[17:05:11.572079579] (+0.000000170) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 3 }, { mpirank = 2, sendbuf = 0x689CE550, recvbuf = 0x689CE558, count = 1, mpi_op = 0x6026A0 }
[17:05:11.572079991] (+0.000000412) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 1 }, { mpirank = 0, buf = 0x1B050DC0, count = 12, dest = 1, tag = 0 }
[17:05:11.572080311] (+0.000000320) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 1 }, { mpirank = 0, buf = 0x1B050E20, count = 12, source = 1, tag = 1 }
[17:05:11.572203684] (+0.000123373) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F4470, count = 12, source = 0, tag = 0 }
[17:05:11.572204614] (+0.000000930) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F44D0, count = 12, dest = 0, tag = 1 }
[17:05:11.572206008] (+0.000001394) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F44D0, count = 12, dest = 0, tag = 1 }
[17:05:11.572206314] (+0.000000306) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 1 }, { mpirank = 0, buf = 0x1B050E20, count = 12, source = 1, tag = 1 }
[17:05:11.572206492] (+0.000000178) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F45F0, count = 12, source = 2, tag = 1 }
[17:05:11.572206924] (+0.000000432) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 1 }, { mpirank = 0, sendbuf = 0x1B050C70, recvbuf = 0x1B050C78, count = 1, mpi_op = 0x6026A0 }
[17:05:11.572207159] (+0.000000235) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F45F0, count = 12, source = 2, tag = 1 }
[17:05:11.572208164] (+0.000001005) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 2 }, { mpirank = 1, sendbuf = 0x8D6F4440, recvbuf = 0x8D6F4448, count = 1, mpi_op = 0x6026A0 }
[17:05:11.572210105] (+0.000001941) vm lttng_pinsight_mpi:MPI_Allreduce_end: { cpu_id = 1 }, { mpirank = 0, sendbuf = 0x1B050C70, recvbuf = 0x1B050C78, count = 1, mpi_op = 0x6026A0 }
[17:05:11.572211359] (+0.000001254) vm lttng_pinsight_mpi:MPI_Allreduce_end: { cpu_id = 2 }, { mpirank = 1, sendbuf = 0x8D6F4440, recvbuf = 0x8D6F4448, count = 1, mpi_op = 0x6026A0 }
[17:05:11.572211512] (+0.000000153) vm lttng_pinsight_mpi:MPI_Allreduce_end: { cpu_id = 0 }, { mpirank = 3, sendbuf = 0xD99F12F0, recvbuf = 0xD99F12F8, count = 1, mpi_op = 0x6026A0 }
[17:05:11.572211876] (+0.000000364) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F4590, count = 12, dest = 2, tag = 0 }
[17:05:11.572211888] (+0.000000012) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 0 }, { mpirank = 3, buf = 0xD99F1320, count = 12, source = 2, tag = 0 }
[17:05:11.572212279] (+0.000000391) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F4590, count = 12, dest = 2, tag = 0 }
[17:05:11.572212578] (+0.000000299) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F4470, count = 12, source = 0, tag = 0 }
[17:05:11.572212593] (+0.000000015) vm lttng_pinsight_mpi:MPI_Allreduce_end: { cpu_id = 3 }, { mpirank = 2, sendbuf = 0x689CE550, recvbuf = 0x689CE558, count = 1, mpi_op = 0x6026A0 }
[17:05:11.572213017] (+0.000000424) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE6A0, count = 12, dest = 3, tag = 0 }
[17:05:11.572213534] (+0.000000517) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE6A0, count = 12, dest = 3, tag = 0 }
[17:05:11.572213722] (+0.000000188) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 0 }, { mpirank = 3, buf = 0xD99F1320, count = 12, source = 2, tag = 0 }
[17:05:11.572213823] (+0.000000101) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE580, count = 12, source = 1, tag = 0 }
[17:05:11.572214011] (+0.000000188) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 0 }, { mpirank = 3, buf = 0xD99F1380, count = 12, dest = 2, tag = 1 }
[17:05:11.572214097] (+0.000000086) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 1 }, { mpirank = 0, buf = 0x1B050DC0, count = 12, dest = 1, tag = 0 }
[17:05:11.572214346] (+0.000000249) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE580, count = 12, source = 1, tag = 0 }
[17:05:11.572214508] (+0.000000162) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 0 }, { mpirank = 3, buf = 0xD99F1380, count = 12, dest = 2, tag = 1 }
[17:05:11.572214555] (+0.000000047) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 1 }, { mpirank = 0, buf = 0x1B050DC0, count = 12, dest = 1, tag = 0 }
[17:05:11.572214622] (+0.000000067) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE5E0, count = 12, dest = 1, tag = 1 }
[17:05:11.572214833] (+0.000000211) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 1 }, { mpirank = 0, buf = 0x1B050E20, count = 12, source = 1, tag = 1 }
[17:05:11.572215035] (+0.000000202) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE5E0, count = 12, dest = 1, tag = 1 }
[17:05:11.572215085] (+0.000000050) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 0 }, { mpirank = 3, sendbuf = 0xD99F12F0, recvbuf = 0xD99F12F8, count = 1, mpi_op = 0x6026A0 }
[17:05:11.572215297] (+0.000000212) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE700, count = 12, source = 3, tag = 1 }
[17:05:11.572215851] (+0.000000554) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 3 }, { mpirank = 2, buf = 0x689CE700, count = 12, source = 3, tag = 1 }
[17:05:11.572216517] (+0.000000666) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 3 }, { mpirank = 2, sendbuf = 0x689CE550, recvbuf = 0x689CE558, count = 1, mpi_op = 0x6026A0 }
[17:05:11.572308769] (+0.000092252) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F4470, count = 12, source = 0, tag = 0 }
[17:05:11.572309462] (+0.000000693) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F44D0, count = 12, dest = 0, tag = 1 }
[17:05:11.572310434] (+0.000000972) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F44D0, count = 12, dest = 0, tag = 1 }
[17:05:11.572310835] (+0.000000401) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F45F0, count = 12, source = 2, tag = 1 }
[17:05:11.572311421] (+0.000000586) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 2 }, { mpirank = 1, buf = 0x8D6F45F0, count = 12, source = 2, tag = 1 }
[17:05:11.572312263] (+0.000000842) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 2 }, { mpirank = 1, sendbuf = 0x8D6F4440, recvbuf = 0x8D6F4448, count = 1, mpi_op = 0x6026A0 }
